Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPosition2QB
1,21682,Jonathan Taylor,IND,14,23,RB,RB1,1.3
2,19801,Josh Allen,BUF,7,26,QB,QB1,1.5
3,21681,Justin Herbert,LAC,8,24,QB,QB2,3.2
4,17959,Derrick Henry,TEN,6,28,RB,RB2,4.2
5,18890,Patrick Mahomes,KC,8,26,QB,QB3,5.2
5,19562,Austin Ekeler,LAC,8,27,RB,RB3,5.2
7,18877,Christian McCaffrey,CAR,13,26,RB,RB4,5.9
8,18882,Cooper Kupp,LAR,7,29,WR,WR1,7.4
9,21768,Najee Harris,PIT,9,24,RB,RB5,8.3
10,18872,Dalvin Cook,MIN,7,26,RB,RB6,9.4
10,21685,Justin Jefferson,MIN,7,23,WR,WR2,9.4
12,21693,Joe Burrow,CIN,10,25,QB,QB4,10
13,20889,Kyler Murray,ARI,13,24,QB,QB5,12.1
14,22564,Ja'Marr Chase,CIN,10,22,WR,WR3,14
15,19781,Lamar Jackson,BAL,10,25,QB,QB6,14.2
16,18858,Joe Mixon,CIN,10,26,RB,RB7,14.7
17,21684,D'Andre Swift,DET,6,23,RB,RB8,16.1
18,16470,Davante Adams,LV,6,29,WR,WR4,16.5
19,21831,Jalen Hurts,PHI,7,23,QB,QB7,17.5
20,19798,Nick Chubb,CLE,9,26,RB,RB9,18.9
21,16906,Stefon Diggs,BUF,7,28,WR,WR5,20.5
22,9038,Matthew Stafford,LAR,7,34,QB,QB8,20.8
23,15048,Travis Kelce,KC,8,32,TE,TE1,21.2
24,19045,Aaron Jones,GB,14,27,RB,RB10,23.2
25,18878,Alvin Kamara,NO,14,27,RB,RB11,23.7
26,21679,CeeDee Lamb,DAL,9,23,WR,WR6,24.1
27,20932,Deebo Samuel,SF,9,26,WR,WR7,25.5
28,2593,Aaron Rodgers,GB,14,38,QB,QB9,25.9
29,14536,Russell Wilson,DEN,9,33,QB,QB10,28.1
30,18055,Dak Prescott,DAL,9,28,QB,QB11,28.3
31,19766,Saquon Barkley,NYG,9,25,RB,RB12,29.2
32,16597,Mike Evans,TB,11,28,WR,WR8,31.1
33,18082,Tyreek Hill,MIA,11,28,WR,WR9,31.7
34,4314,Tom Brady,TB,11,44,QB,QB12,32
35,20882,David Montgomery,CHI,14,25,RB,RB13,32.6
36,19803,Mark Andrews,BAL,10,26,TE,TE2,33.1
37,18803,Leonard Fournette,TB,11,27,RB,RB14,34.8
38,21674,J.K. Dobbins,BAL,10,23,RB,RB15,37.5
39,17923,Ezekiel Elliott,DAL,9,27,RB,RB16,37.8
40,15076,Keenan Allen,LAC,8,30,WR,WR10,38.5
41,16311,Derek Carr,LV,6,31,QB,QB13,38.6
42,14252,Kirk Cousins,MIN,7,33,QB,QB14,40.6
43,21690,Tee Higgins,CIN,10,23,WR,WR11,41.4
43,21042,A.J. Brown,PHI,7,25,WR,WR12,41.4
