PLAYER NAME,TEAM,FANTASY PROS,SPORTING NEWS,ROTOBALLER,,,,,,
Josh Allen,BUF,1,1,1,,,,,,
Christian McCaffrey,CAR,2,9,6,,,,,,
Jonathan Taylor,IND,3,2,3,,,,,,
Austin Ekeler,LAC,4,4,5,,,,,,
Justin Herbert,LAC,5,6,2,,,,,,
Patrick Mahomes II,KC,6,7,4,,,,,,
Dalvin Cook,MIN,7,11,16,,,,,,
Justin Jefferson,MIN,8,12,9,,,,,,
Lamar Jackson,BAL,9,21,8,,,,,,
Najee Harris,PIT,10,3,10,,,,,,
Cooper Kupp,LAR,11,5,7,,,,,,
Derrick Henry,TEN,12,8,12,,,,,,
D'Andre Swift,DET,13,18,28,,,,,,
Travis Kelce,KC,14,22,23,,,,,,
Joe Mixon,CIN,15,24,20,,,,,,
Ja'Marr Chase,CIN,16,13,11,,,,,,
Kyler Murray,ARI,17,14,13,,,,,,
Jalen Hurts,PHI,18,20,18,,,,,,
Stefon Diggs,BUF,19,16,25,,,,,,
Davante Adams,LV,20,17,21,,,,,,
Alvin Kamara,NO,21,10,29,,,,,,
Saquon Barkley,NYG,22,46,26,,,,,,
Aaron Jones,GB,23,38,38,,,,,,
CeeDee Lamb,DAL,24,15,35,,,,,,
Mark Andrews,BAL,25,23,41,,,,,,
Leonard Fournette,TB,26,32,30,,,,,,
Joe Burrow,CIN,27,19,14,,,,,,
Mike Evans,TB,28,25,40,,,,,,
Tyreek Hill,MIA,29,26,39,,,,,,
Keenan Allen,LAC,30,29,33,,,,,,
Tom Brady,TB,31,30,19,,,,,,
Russell Wilson,DEN,32,37,15,,,,,,
Javonte Williams,DEN,33,33,36,,,,,,
Deebo Samuel,SF,34,28,24,,,,,,
Michael Pittman Jr.,IND,35,62,54,,,,,,
Dak Prescott,DAL,36,27,17,,,,,,
Nick Chubb,CLE,37,47,32,,,,,,
A.J. Brown,PHI,38,41,42,,,,,,
Tee Higgins,CIN,39,59,50,,,,,,
Trey Lance,SF,40,53,34,,,,,,
James Conner,ARI,41,45,49,,,,,,
DJ Moore,CAR,42,49,66,,,,,,
Kyle Pitts,ATL,43,40,51,,,,,,
Ezekiel Elliott,DAL,44,39,47,,,,,,
Matthew Stafford,LAR,45,31,22,,,,,,
Aaron Rodgers,GB,46,42,27,,,,,,
Diontae Johnson,PIT,47,36,60,,,,,,
Travis Etienne Jr.,JAC,48,61,55,,,,,,
Jaylen Waddle,MIA,49,68,56,,,,,,
Breece Hall,NYJ,50,75,67,,,,,,
Kirk Cousins,MIN,51,57,37,,,,,,
Derek Carr,LV,52,43,31,,,,,,
Mike Williams,LAC,53,34,74,,,,,,
David Montgomery,CHI,54,65,44,,,,,,
Courtland Sutton,DEN,55,71,72,,,,,,
Terry McLaurin,WAS,56,35,64,,,,,,
Cam Akers,LAR,57,44,53,,,,,,
Brandin Cooks,HOU,58,72,82,,,,,,
Allen Robinson II,LAR,59,85,59,,,,,,
George Kittle,SF,60,55,65,,,,,,
J.K. Dobbins,BAL,61,52,46,,,,,,
Tua Tagovailoa,MIA,62,73,43,,,,,,
DK Metcalf,SEA,63,48,63,,,,,,
AJ Dillon,GB,64,101,77,,,,,,
Darren Waller,LV,65,54,81,,,,,,
Elijah Mitchell,SF,66,60,58,,,,,,
Josh Jacobs,LV,67,50,78,,,,,,
Justin Fields,CHI,68,66,45,,,,,,
Marquise Brown,ARI,69,67,,,,,,,
Trevor Lawrence,JAC,70,77,62,,,,,,
Darnell Mooney,CHI,71,58,86,,,,,,
Michael Thomas,NO,72,63,,,,,,,
Jerry Jeudy,DEN,73,83,73,,,,,,
Rashod Bateman,BAL,74,90,,,,,,,
Amon-Ra St. Brown,DET,75,64,,,,,,,
Chase Edmonds,MIA,76,70,79,,,,,,
Chris Godwin,TB,77,88,,,,,,,
Dalton Schultz,DAL,78,74,88,,,,,,
