"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","1","7","2.1","0.6","-"
"2",1,"Christian McCaffrey",CAR,"RB1","1","10","2.3","2.3","-"
"3",1,"Jonathan Taylor",IND,"RB2","1","6","3.7","1.4","-"
"4",1,"Austin Ekeler",LAC,"RB3","1","22","5.6","2.6","-"
"5",2,"Justin Herbert",LAC,"QB2","2","27","6.8","4.8","-"
"6",2,"Patrick Mahomes II",KC,"QB3","2","30","9.8","6.5","-"
"7",2,"Dalvin Cook",MIN,"RB4","4","34","9.9","5.8","-"
"8",2,"Justin Jefferson",MIN,"WR1","5","16","10.9","3.0","-"
"9",2,"Lamar Jackson",BAL,"QB4","2","28","11.2","5.8","-"
"10",2,"Najee Harris",PIT,"RB5","1","28","11.7","6.5","-"
"11",2,"Cooper Kupp",LAR,"WR2","4","20","11.9","3.3","-"
"12",3,"Derrick Henry",TEN,"RB6","4","37","14.0","8.0","-"
"13",3,"D'Andre Swift",DET,"RB7","6","37","14.9","6.9","-"
"14",3,"Travis Kelce",KC,"TE1","13","40","15.6","5.6","-"
"15",3,"Joe Mixon",CIN,"RB8","5","34","16.1","6.4","-"
"16",3,"Ja'Marr Chase",CIN,"WR3","6","29","16.2","3.3","-"
"17",3,"Kyler Murray",ARI,"QB5","3","36","17.9","8.2","-"
"18",3,"Jalen Hurts",PHI,"QB6","3","45","18.4","7.9","-"
"19",3,"Stefon Diggs",BUF,"WR4","12","26","18.6","3.0","-"
"20",3,"Davante Adams",LV,"WR5","14","44","19.9","3.6","-"
"21",3,"Alvin Kamara",NO,"RB9","6","49","20.6","9.0","-"
"22",4,"Saquon Barkley",NYG,"RB10","4","43","21.6","9.0","-"
"23",4,"Aaron Jones",GB,"RB11","6","46","21.9","8.0","-"
"24",4,"CeeDee Lamb",DAL,"WR6","18","33","22.8","3.2","-"
"25",4,"Mark Andrews",BAL,"TE2","13","63","26.1","7.3","-"
"26",4,"Leonard Fournette",TB,"RB12","10","52","27.1","8.7","-"
"27",4,"Joe Burrow",CIN,"QB7","8","50","27.2","9.4","-"
"28",5,"Mike Evans",TB,"WR7","21","51","32.5","6.6","-"
"29",5,"Tyreek Hill",MIA,"WR8","20","57","33.0","7.2","-"
"30",5,"Keenan Allen",LAC,"WR9","23","58","33.3","7.7","-"
"31",5,"Tom Brady",TB,"QB8","11","59","33.4","9.4","-"
"32",5,"Russell Wilson",DEN,"QB9","6","60","33.6","9.1","-"
"33",5,"Javonte Williams",DEN,"RB13","10","62","33.9","9.2","-"
"34",5,"Deebo Samuel",SF,"WR10","20","57","34.9","8.2","-"
"35",5,"Michael Pittman Jr.",IND,"WR11","23","66","36.3","8.6","-"
"36",5,"Dak Prescott",DAL,"QB10","15","61","36.7","8.6","-"
"37",5,"Nick Chubb",CLE,"RB14","17","51","38.3","6.8","-"
"38",5,"A.J. Brown",PHI,"WR12","22","72","38.4","9.4","-"
"39",5,"Tee Higgins",CIN,"WR13","26","67","39.0","8.8","-"
"40",5,"Trey Lance",SF,"QB11","11","73","41.0","12.7","-"
"41",5,"James Conner",ARI,"RB15","24","75","41.9","8.9","-"
"42",5,"DJ Moore",CAR,"WR14","26","74","42.7","9.9","-"
"43",5,"Kyle Pitts",ATL,"TE3","13","71","43.9","12.3","-"
"44",5,"Ezekiel Elliott",DAL,"RB16","24","75","44.7","9.3","-"
"45",5,"Matthew Stafford",LAR,"QB12","27","69","44.7","7.9","-"
"46",5,"Aaron Rodgers",GB,"QB13","19","63","46.7","9.5","-"
"47",6,"Diontae Johnson",PIT,"WR15","26","74","48.8","10.2","-"
"48",6,"Travis Etienne Jr.",JAC,"RB17","22","81","49.5","11.0","-"
"49",6,"Jaylen Waddle",MIA,"WR16","29","99","51.8","11.3","-"
"50",6,"Breece Hall",NYJ,"RB18","24","84","52.5","11.3","-"
"51",6,"Kirk Cousins",MIN,"QB14","28","77","53.8","8.8","-"
"52",6,"Derek Carr",LV,"QB15","30","82","54.4","8.1","-"
"53",6,"Mike Williams",LAC,"WR17","29","95","55.5","13.5","-"
"54",6,"David Montgomery",CHI,"RB19","28","97","55.6","12.9","-"
"55",6,"Courtland Sutton",DEN,"WR18","31","92","56.5","15.1","-"
"56",6,"Terry McLaurin",WAS,"WR19","35","91","56.5","10.3","-"
"57",6,"Cam Akers",LAR,"RB20","22","100","57.6","13.9","-"
"58",6,"Brandin Cooks",HOU,"WR20","39","91","58.8","11.0","-"
"59",6,"Allen Robinson II",LAR,"WR21","37","101","62.8","13.0","-"
"60",6,"George Kittle",SF,"TE4","39","102","63.8","12.2","-"
"61",7,"J.K. Dobbins",BAL,"RB21","43","99","64.8","11.5","-"
"62",7,"Tua Tagovailoa",MIA,"QB16","45","127","67.0","10.2","-"
"63",7,"DK Metcalf",SEA,"WR22","39","92","67.2","12.0","-"
"64",7,"AJ Dillon",GB,"RB22","47","91","67.2","11.4","-"
"65",7,"Darren Waller",LV,"TE5","40","97","68.2","10.6","-"
"66",7,"Elijah Mitchell",SF,"RB23","43","99","68.5","12.3","-"
"67",7,"Josh Jacobs",LV,"RB24","34","107","68.6","14.4","-"
"68",7,"Justin Fields",CHI,"QB17","36","127","69.1","13.5","-"
"69",7,"Marquise Brown",ARI,"WR23","46","112","72.2","14.2","-"
"70",7,"Trevor Lawrence",JAC,"QB18","44","127","72.3","12.7","-"
"71",7,"Darnell Mooney",CHI,"WR24","44","112","73.0","12.3","-"
"72",7,"Michael Thomas",NO,"WR25","32","137","74.8","19.0","-"
"73",7,"Jerry Jeudy",DEN,"WR26","43","120","76.6","13.5","-"
"74",7,"Rashod Bateman",BAL,"WR27","48","133","76.9","15.3","-"
"75",7,"Amon-Ra St. Brown",DET,"WR28","44","116","76.9","15.1","-"
"76",7,"Chase Edmonds",MIA,"RB25","42","122","77.5","16.4","-"
"77",7,"Chris Godwin",TB,"WR29","39","124","79.0","19.7","-"
"78",7,"Dalton Schultz",DAL,"TE6","40","141","79.6","16.1","-"
"79",7,"JuJu Smith-Schuster",KC,"WR30","53","133","80.8","15.4","-"
"80",7,"Jameis Winston",NO,"QB19","48","136","80.8","15.2","-"
"81",7,"Matt Ryan",IND,"QB20","55","116","80.4","13.4","-"
"82",7,"Clyde Edwards-Helaire",KC,"RB26","55","127","83.6","12.2","-"
"83",7,"Amari Cooper",CLE,"WR31","46","125","84.6","16.2","-"
"84",7,"Antonio Gibson",WAS,"RB27","37","153","84.8","24.1","-"
"85",8,"Kareem Hunt",CLE,"RB28","55","129","85.7","14.1","-"
"86",8,"Elijah Moore",NYJ,"WR32","47","132","88.3","15.4","-"
"87",8,"Tony Pollard",DAL,"RB29","52","122","88.6","14.5","-"
"88",8,"Miles Sanders",PHI,"RB30","52","134","89.8","13.6","-"
"89",8,"Gabriel Davis",BUF,"WR33","53","123","90.4","16.7","-"
"90",8,"Ryan Tannehill",TEN,"QB21","60","149","90.3","17.1","-"
"91",8,"Damien Harris",NE,"RB31","59","131","94.1","11.9","-"
"92",8,"Adam Thielen",MIN,"WR34","68","124","95.1","14.8","-"
"93",8,"T.J. Hockenson",DET,"TE7","63","123","95.4","12.3","-"
"94",8,"Rhamondre Stevenson",NE,"RB32","47","131","95.4","15.4","-"
"95",8,"Daniel Jones",NYG,"QB22","62","157","95.7","19.5","-"
"96",8,"Cordarrelle Patterson",ATL,"RB33","40","140","95.9","17.9","-"
"97",8,"Dallas Goedert",PHI,"TE8","64","150","96.2","14.0","-"
"98",8,"Rashaad Penny",SEA,"RB34","57","153","96.9","15.2","-"
"99",8,"Mac Jones",NE,"QB23","63","140","94.9","15.6","-"
"100",8,"Devin Singletary",BUF,"RB35","49","143","99.7","14.0","-"
"101",8,"Hunter Renfrow",LV,"WR35","66","146","104.5","16.9","-"
"102",8,"Brandon Aiyuk",SF,"WR36","57","132","104.9","16.5","-"
"103",8,"Melvin Gordon III",DEN,"RB36","70","132","105.4","13.0","-"
"104",8,"Drake London",ATL,"WR37","67","168","105.4","18.1","-"
"105",8,"DeVonta Smith",PHI,"WR38","74","137","106.2","14.4","-"
"106",8,"Zach Ertz",ARI,"TE9","84","153","107.4","12.7","-"
"107",8,"Christian Kirk",JAC,"WR39","71","143","109.6","14.7","-"
"108",9,"Carson Wentz",WAS,"QB24","65","155","108.0","18.2","-"
"109",9,"Allen Lazard",GB,"WR40","72","160","111.8","18.6","-"
"110",9,"Tyler Lockett",SEA,"WR41","79","143","112.7","13.1","-"
"111",9,"Dameon Pierce",HOU,"RB37","56","260","113.5","29.6","-"
"112",9,"James Cook",BUF,"RB38","78","180","114.3","17.0","-"
"113",9,"Zach Wilson",NYJ,"QB25","65","152","107.9","21.5","-"
"114",9,"Jared Goff",DET,"QB26","61","152","108.7","19.5","-"
"115",9,"Ken Walker III",SEA,"RB39","62","160","116.8","19.7","-"
"116",9,"Robert Woods",TEN,"WR42","74","192","118.0","17.4","-"
"117",9,"DeAndre Hopkins",ARI,"WR43","87","166","118.3","14.8","-"
