Player,Fantasy Pros,ENetRk,SVRRk,KNNRk,GBRRk,DNNRk,NBC Berry,Rank
Justin Jefferson,1,4.0,94.0,2.0,1.0,4.0,1.0,1.0
Christian McCaffrey,2,6.0,84.0,17.5,6.5,17.0,2.0,4.0
Ja'Marr Chase,3,24.0,16.0,16.0,4.0,13.0,3.0,2.0
Austin Ekeler,4,5.0,86.0,17.5,6.5,16.0,5.0,3.0
Tyreek Hill,5,9.0,64.0,7.0,18.0,10.0,6.0,7.0
Travis Kelce,6,22.0,132.0,43.0,15.0,14.0,7.0,5.0
Bijan Robinson,7,,,,,,9.0,8.0
Cooper Kupp,8,60.0,70.0,68.0,59.0,30.0,4.0,6.0
Nick Chubb,9,20.0,59.0,19.0,20.0,27.0,15.0,14.0
Saquon Barkley,10,17.0,29.0,21.0,16.0,22.0,13.0,9.0
Stefon Diggs,11,16.0,47.0,12.0,18.0,19.0,8.0,13.0
Tony Pollard,12,41.0,49.0,25.0,44.0,50.0,16.0,12.0
CeeDee Lamb,13,10.0,32.0,6.0,3.0,12.0,12.0,15.0
Derrick Henry,14,14.0,81.0,20.0,10.0,26.0,17.0,10.0
A.J. Brown,15,15.0,42.0,4.0,13.5,11.0,14.0,18.0
Amon-Ra St. Brown,16,18.0,5.0,27.0,8.0,23.0,10.0,17.0
Davante Adams,17,11.0,90.0,9.0,18.0,18.0,11.0,11.0
Garrett Wilson,18,47.0,37.0,46.0,42.5,49.0,18.0,16.0
Jonathan Taylor,19,84.0,97.0,74.0,80.0,81.0,20.0,20.0
Josh Jacobs,20,8.0,91.0,5.0,2.0,15.0,21.0,19.0
Jaylen Waddle,21,23.0,15.0,22.0,9.0,20.0,19.0,21.0
Chris Olave,22,58.0,52.0,57.0,46.0,58.0,26.0,24.0
Rhamondre Stevenson,23,36.0,31.0,36.0,28.0,31.0,32.0,34.0
Patrick Mahomes,24,1.0,127.0,1.0,37.0,6.0,24.0,26.0
DeVonta Smith,25,25.0,6.0,32.0,22.0,28.0,28.0,25.0
Joe Mixon,26,28.0,10.0,28.0,40.0,29.0,29.0,29.0
Najee Harris,27,32.0,25.0,49.0,47.0,46.0,36.0,31.0
Tee Higgins,28,37.0,11.0,40.0,50.5,37.0,27.0,23.0
Mark Andrews,29,66.0,72.0,65.0,65.5,60.0,25.0,38.0
Jalen Hurts,30,3.0,82.0,10.0,12.0,1.0,22.0,28.0
Josh Allen,31,2.0,100.0,3.0,5.0,2.0,23.0,27.0
Jahmyr Gibbs,32,,,,,,31.0,32.0
Travis Etienne,33,50.0,36.0,70.0,50.5,48.0,30.0,30.0
D.K. Metcalf,34,40.0,18.0,51.0,39.0,45.0,37.0,22.0
Keenan Allen,35,107.0,116.0,107.0,107.0,70.0,34.0,37.0
Amari Cooper,36,34.0,12.0,31.0,29.5,35.0,42.0,41.0
Aaron Jones,37,29.0,28.0,26.0,29.5,38.0,46.0,33.0
Calvin Ridley,38,,,,,,41.0,36.0
Lamar Jackson,39,39.0,20.0,72.0,41.0,36.0,40.0,39.0
Deebo Samuel,40,90.0,76.0,104.0,98.5,79.0,38.0,35.0
Breece Hall,41,117.0,157.0,137.0,73.0,77.0,33.0,47.0
Kenneth Walker III,42,44.0,33.0,67.0,42.5,43.0,44.0,53.0
D.J. Moore,43,56.0,30.0,58.0,54.0,55.0,53.0,58.0
Miles Sanders,44,38.0,17.0,29.0,55.5,42.0,62.0,51.0
T.J. Hockenson,45,51.0,61.0,56.0,55.5,64.0,39.0,49.0
Jerry Jeudy,46,46.0,22.0,37.0,53.0,40.0,47.0,42.0
Joe Burrow,47,7.0,40.0,14.0,13.5,7.0,45.0,40.0
Terry McLaurin,48,43.0,13.0,38.0,32.0,44.0,48.0,60.0
Alexander Mattison,49,203.0,198.0,196.0,169.0,198.0,43.0,54.0
Justin Fields,50,12.0,3.0,23.0,21.0,5.0,56.0,56.0
Christian Watson,51,72.0,58.0,64.0,95.0,73.0,58.0,43.0
DeAndre Hopkins,52,121.0,135.0,106.0,112.0,78.0,35.0,44.0
Dameon Pierce,53,70.0,83.0,84.0,74.0,89.0,52.0,46.0
Drake London,54,77.0,74.0,78.0,72.0,62.0,54.0,68.0
J.K. Dobbins,55,147.0,174.0,99.0,166.0,123.0,79.0,77.0
Cam Akers,56,101.0,103.0,124.0,103.0,111.0,61.0,63.0
Justin Herbert,57,21.0,7.0,15.0,27.0,8.0,51.0,55.0
Chris Godwin,58,52.0,41.0,52.0,67.0,56.0,65.0,45.0
Brandon Aiyuk,59,35.0,14.0,50.0,24.0,33.0,67.0,69.0
James Conner,60,55.0,54.0,54.0,64.0,51.0,59.0,52.0
Mike Williams,61,89.0,77.0,101.0,115.5,72.0,49.0,65.0
Tyler Lockett,62,45.0,26.0,44.0,36.0,52.0,66.0,67.0
Diontae Johnson,63,91.0,67.0,80.0,91.0,88.0,60.0,57.0
Darren Waller,64,212.0,243.0,156.0,229.0,135.0,55.0,64.0
