Rk,Player,Age,G,GS,PPR,VBD,FantPos_Other,FantPos_QB,FantPos_RB,FantPos_TE,FantPos_WR
1,Patrick Mahomes,27,17,17,417.4,136.0,0,1,0,0,0
2,Josh Jacobs,24,17,17,328.3,127.0,0,0,1,0,0
3,Christian McCaffrey,26,17,16,356.4,123.0,0,0,1,0,0
4,Derrick Henry,28,16,16,302.8,122.0,0,0,1,0,0
5,Justin Jefferson,23,17,17,368.7,119.0,0,0,0,0,1
6,Austin Ekeler,27,17,17,372.7,118.0,0,0,1,0,0
7,Josh Allen,26,16,16,395.5,117.0,0,1,0,0,0
8,Travis Kelce,33,17,17,316.3,114.0,0,0,0,1,0
9,Davante Adams,30,17,17,335.5,114.0,0,0,0,0,1
10,Nick Chubb,27,17,17,281.4,107.0,0,0,1,0,0
11,Tyreek Hill,28,17,17,347.2,107.0,0,0,0,0,1
12,Jalen Hurts,24,15,15,378.0,100.0,0,1,0,0,0
13,A.J. Brown,25,17,16,299.6,91.0,0,0,0,0,1
14,Stefon Diggs,29,16,16,316.6,89.0,0,0,0,0,1
15,Saquon Barkley,25,16,16,284.0,82.0,0,0,1,0,0
16,CeeDee Lamb,23,17,17,301.6,75.0,0,0,0,0,1
17,Joe Burrow,26,16,16,350.7,74.0,0,1,0,0,0
18,Jamaal Williams,27,17,9,225.9,69.0,0,0,1,0,0
19,Jaylen Waddle,24,17,17,259.2,66.0,0,0,0,0,1
20,Tony Pollard,25,16,4,248.8,65.0,0,0,1,0,0
21,Dalvin Cook,27,17,17,237.8,55.0,0,0,1,0,0
22,Miles Sanders,25,17,15,216.7,53.0,0,0,1,0,0
23,George Kittle,29,15,15,200.5,52.0,0,0,0,1,0
24,Amari Cooper,28,17,17,246.0,50.0,0,0,0,0,1
25,Taysom Hill,32,16,8,145.8,49.0,0,0,0,1,0
26,Aaron Jones,28,17,17,248.6,46.0,0,0,1,0,0
27,Amon-Ra St. Brown,23,16,16,267.6,44.0,0,0,0,0,1
28,DeVonta Smith,24,17,17,254.6,42.0,0,0,0,0,1
29,T.J. Hockenson,25,17,14,215.4,42.0,0,0,0,1,0
30,Christian Kirk,26,17,17,241.9,41.0,0,0,0,0,1
31,Najee Harris,24,17,17,223.5,40.0,0,0,1,0,0
32,Ja'Marr Chase,22,12,12,242.4,38.0,0,0,0,0,1
33,Rhamondre Stevenson,24,17,7,249.1,37.0,0,0,1,0,0
34,Joe Mixon,26,14,14,239.5,37.0,0,0,1,0,0
35,Tyler Lockett,30,16,16,237.3,37.0,0,0,0,0,1
36,Terry McLaurin,27,17,17,229.0,35.0,0,0,0,0,1
37,Brandon Aiyuk,24,17,17,227.8,33.0,0,0,0,0,1
38,Kenneth Walker III,22,15,11,202.5,33.0,0,0,1,0,0
39,Mike Evans,29,15,15,225.4,32.0,0,0,0,0,1
40,Tee Higgins,23,16,14,220.9,30.0,0,0,0,0,1
41,Mark Andrews,27,15,15,190.5,30.0,0,0,0,1,0
42,Geno Smith,32,17,17,303.9,30.0,0,1,0,0,0
43,Travis Etienne,23,17,12,205.1,28.0,0,0,1,0,0
44,Ezekiel Elliott,27,15,14,185.8,27.0,0,0,1,0,0
45,Justin Fields,23,15,15,296.0,23.0,0,1,0,0,0
46,Trevor Lawrence,23,17,17,295.6,23.0,0,1,0,0,0
47,Jerry Jeudy,23,15,14,204.2,21.0,0,0,0,0,1
48,D.K. Metcalf,25,17,17,226.8,21.0,0,0,0,0,1
49,D.J. Moore,25,17,17,199.1,20.0,0,0,0,0,1
50,Kirk Cousins,34,17,17,291.6,19.0,0,1,0,0,0
51,Evan Engram,28,17,14,176.9,18.0,0,0,0,1,0
52,Garrett Wilson,22,17,12,215.7,17.0,0,0,0,0,1
53,Daniel Jones,25,16,16,289.0,16.0,0,1,0,0,0
54,Alvin Kamara,27,15,13,211.7,14.0,0,0,1,0,0
55,James Conner,27,13,13,200.2,13.0,0,0,1,0,0
56,Leonard Fournette,27,16,9,226.1,12.0,0,0,1,0,0
57,Cole Kmet,23,17,17,147.3,11.0,0,0,0,1,0
58,Cooper Kupp,29,9,9,201.4,11.0,0,0,0,0,1
59,Chris Olave,22,15,9,198.2,11.0,0,0,0,0,1
60,Jared Goff,28,17,17,284.3,11.0,0,1,0,0,0
61,Gabriel Davis,23,15,15,171.6,9.0,0,0,0,0,1
62,Christian Watson,23,14,11,164.1,8.0,0,0,0,0,1
63,Juwan Johnson,26,16,12,134.8,7.0,0,0,0,1,0
64,Justin Herbert,24,17,17,281.3,7.0,0,1,0,0,0
65,Chris Godwin,26,15,13,222.8,4.0,0,0,0,0,1
66,David Montgomery,25,16,16,177.7,3.0,0,0,1,0,0
67,Tyler Allgeier,22,16,7,159.4,3.0,0,0,1,0,0
68,Michael Pittman Jr.,25,16,16,216.5,3.0,0,0,0,0,1
69,D'Andre Swift,23,14,8,191.1,3.0,0,0,1,0,0
70,Dawson Knox,26,15,15,135.7,2.0,0,0,0,1,0
71,Zay Jones,27,16,15,198.1,2.0,0,0,0,0,1
72,Dallas Goedert,27,12,12,141.2,1.0,0,0,0,1,0
73,Dalton Schultz,26,15,15,142.7,0.0,0,0,0,1,0
74,Allen Lazard,27,15,15,174.8,0.0,0,0,0,0,1
75,Tory Carter,23,9,3,0.0,0.0,1,0,0,0,0
76,Alex Armah,28,2,0,0.0,0.0,1,0,0,0,0
77,Pat Freiermuth,24,16,8,148.2,0.0,0,0,0,1,0
78,Jerick McKinnon,30,17,0,196.3,0.0,0,0,1,0,0
79,Tom Brady,45,17,17,271.7,0.0,0,1,0,0,0
80,Aaron Rodgers,39,17,17,239.2,0.0,0,1,0,0,0
